Laptop_name,Price(VND),GPU,CPU,RAM(GB),Storage(GB),Screen_size(inches)
 Laptop ASUS TUF Gaming A15 FA507NUR-LP101W ,25490000.0,NVIDIA GeForce RTX 4050,AMD Ryzen 7 7435HS,16.0,512.0,15.6
 Laptop ASUS Vivobook 15 X1504ZA-NJ1039W ,16190000.0,INTEL Iris Xe Graphics,Intel Core i7 1255U,16.0,512.0,15.6
 Laptop ASUS Vivobook 15 OLED A1505VA-MA492W ,20390000.0,INTEL Iris Xe Graphics,Intel Core i7 13700H,16.0,512.0,15.6
 Laptop ASUS ROG Strix G16 G614JV-N4156W ,36990000.0,NVIDIA GeForce RTX 4060,Intel Core i7 13650HX,16.0,512.0,16.0
 Laptop ASUS  Vivobook 14 OLED A1405VA-KM257W ,17190000.0,INTEL Iris Xe Graphics,Intel Core i5 13500H,16.0,512.0,14.0
 Laptop ASUS TUF Gaming F15 FX507VU-LP198W ,26490000.0,NVIDIA GeForce RTX 4050,Intel Core i7 13620H,8.0,512.0,15.6
 Laptop ASUS ExpertBook B1 B1502CBA-NJ1261W  ,9490000.0,INTEL UHD Graphics,Intel Core i3 1215U,8.0,256.0,15.6
 Laptop ASUS TUF Gaming F15 FX507VV-LP304W ,29990000.0,NVIDIA GeForce RTX 4060,Intel Core i7 13620H,16.0,1000.0,15.6
 Laptop ASUS  VivoBook S 16 OLED S5606MA-MX051W  ,26890000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,16.0,512.0,16.0
 Laptop ASUS VivoBook S 14 FLIP TP3402VA-LZ118W ,22890000.0,INTEL UHD Graphics,Intel Core I9 13900H,16.0,512.0,14.0
 Laptop ASUS ROG Strix G16 G614JU-N3135W ,29490000.0,NVIDIA GeForce RTX 4050,Intel Core i5 13450HX,8.0,512.0,16.0
 Laptop ASUS VivoBook 14 OLED A1405VA-KM095W ,17390000.0,INTEL Iris Xe Graphics,Intel Core i5 13500H,16.0,512.0,14.0
 Laptop ASUS Vivobook 16 M1605YA-MB303W ,14690000.0,AMD Radeon Graphics,AMD Ryzen 7 7730U,16.0,512.0,16.0
 Laptop ASUS Vivobook S 14 OLED M5406WA-PP071WS ,31990000.0,AMD Radeon 890M Graphics,AMD Ryzen AI 9 HX 370,32.0,1000.0,14.0
 Laptop ASUS Expertbook B1402CBA-NK2669W ,12990000.0,INTEL UHD Graphics,Intel Core i5 1235U,16.0,512.0,14.0
