Product name,Price,Brand,CPU Model,RAM size,Storage,Screen size,Battery,CPU Cache Size,CPU Cores,CPU Frequency,NPU,GPU,RAM frequency,RAM slots,RAM type,Audio,Webcam,OS,Ports,Size,Weight,Material,Color,Wireless connection,Keyboard,LED,Security,box,Series laptop,Part-number,Warranty,Refresh rate,Display Resolution,Screen Brightness ,Usage category
Laptop gaming HP Victus 16-r0216TX - 9Q973PA,28990000.0,HP,Intel Core i513500H,32.0,512.0,16.1,70.0,18MB,12.0,2.6 GHz,,NVIDIA GeForce RTX 3050,5200MHz,2.0,DDR5,HP Audio Boost,FHD,Windows 11 Home SL,"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",36.9 x 25.94 x 2.39 cm,2.3 kg,,Đen,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , LED",không đèn,,,VICTUS,9Q973PA,12 tháng,144.0,1920 x 1080,250.0,Gaming
Laptop Dell Inspiron 5640 - N6I5419W1,22990000.0,Dell,Intel Core i51334U,16.0,512.0,16.0,54.0,12MB,10.0,1.3 GHz,,Intel Iris Xe Graphics,5200MHz,1.0,DDR5,,FHD,Windows 11 Home SL + Office Home & Student 2021,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI",35.678 x 24.952 x 1.737 cm,1.9 kg,Vỏ nhôm,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , LED",,Vân tay,,Inspiron,N6I5419W1,12 tháng,,1920 x 1200,250.0,basic
Laptop AI HP 15-fd1043TU - 9Z2W9PA,18790000.0,HP,Intel Core 5 120U,16.0,1024.0,15.6,41.0,12MB,10.0,1.4 GHz,,Intel Iris Xe Graphics,3200MHz,2.0,DDR4,,HD,Windows 11 Home,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI",35.98 x 23.6 x 1.86 cm,1.6 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím thường , có phím số , không đèn",,,"Adapter, dây nguồn,…",14/15 Series,9Z2W9PA,12 tháng,,1920 x 1080,250.0,basic
Laptop HP ProBook 440 G10 - 873B2PA,20690000.0,HP,Intel Core i51340P,16.0,512.0,14.0,51.0,12MB,12.0,1.9 GHz,,Intel Iris Xe Graphics,3200MHz,1.0,DDR4,,FHD,Windows 11 Home,"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",32.19 x 21.39 x 1.99 cm,1.4 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím thường , không phím số , LED",,Vân tay,"Adapter, dây nguồn,…",ProBook,873B2PA,12 tháng,,1920 x 1080,,basic
Laptop AI HP Pavilion X360 14-ek2013TU - 9Z2V4PA,25990000.0,HP,Intel Core 7 150U,16.0,512.0,14.0,43.0,12MB,10.0,1.8 GHz,,Intel Iris Xe Graphics,3200MHz,1.0,DDR4,HP Audio Boost,HD,Windows 11 Home SL,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI",32.2 x 21.0 x 1.99 cm,1.5 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",,,,Pavilion X360,9Z2V4PA,12 tháng,,1920 x 1080,300.0,basic
Laptop Dell Latitude 3440,16990000.0,Dell,Intel Core i51235U,16.0,512.0,14.0,41.0,12MB,10.0,1.3 GHz,,Intel Iris Xe Graphics,3200MHz,2.0,DDR4,Realtek Audio,FHD,"Windows 11 Home SL, English","1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",322.17x 219.43x 19.37 mm,1.6 kg,,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , không đèn",,,,Latitude,L3440-I51235U-16G512G,12 tháng,,1920 x 1080,250.0,basic
Laptop gaming HP Victus 16-r0231TX - 9Q982PA,29390000.0,HP,Intel Core i513500H,32.0,512.0,16.1,70.0,18MB,12.0,2.6 GHz,,NVIDIA GeForce RTX 3050,5200MHz,2.0,DDR5,HP Audio Boost,FHD,Windows 11 Home SL,"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",36.9 x 25.94 x 2.39 cm,2.3 kg,,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , LED",không đèn,,,VICTUS,9Q982PA,12 tháng,144.0,1920 x 1080,250.0,Gaming
Laptop ACER Aspire 5 Spin 14 A5SP14-51MTN-573X,14990000.0,ACER,Intel Core i51335U,16.0,512.0,14.0,50.0,12MB,10.0,1.3 GHz,,Intel Iris Xe Graphics,5200MHz,1.0,LPDDR5,Acer TrueHarmony Technology,HD,Windows 11 Home,"2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI",318.2 x 225.5 x 17.99 mm,1.6 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím thường , không phím số , không đèn",,Vân tay,,Aspire 5,NX.KHKSV.002,12 tháng,,1920 x 1200,,basic
Laptop ACER Gaming Aspire 5 A515-58GM-53PZ,15490000.0,ACER,Intel Core i513420H,8.0,512.0,15.6,50.0,12MB,8.0,2.1 GHz,,NVIDIA GeForce RTX 2050,3200MHz,1.0,DDR4,,FHD,Windows 11 Home,"2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s",36.1 x 23.7 x 1.79 cm,1.7 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , có phím số , LED",,Vân tay,"Adapter, dây nguồn, HDSD,…",Aspire 5,NX.KQ4SV.008,12 tháng,,1920 x 1080,250.0,Gaming
Laptop AI HP 14-ep1011TU - 9Z2W3PA,18290000.0,HP,Intel Core 5 120U,16.0,512.0,14.0,40.0,12MB,10.0,1.4 GHz,,Intel Iris Xe Graphics,,2.0,DDR4,,HD,Windows 11 Home SL,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI",32.4 x 21.5 x 1.79 cm,1.4 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , không đèn",,,,14/15 Series,9Z2W3PA,12 tháng,,1920 x 1080,250.0,basic
Laptop gaming ASUS TUF Gaming F15 - FX507ZC4-HN095W,20990000.0,ASUS,Intel Core i512500H,16.0,512.0,15.6,56.0,18MB,12.0,2.5 GHz,,NVIDIA GeForce RTX 3050,3200MHz,2.0,DDR4,Dolby Atmos,HD,Windows 11 Home,"1 x USB Type C / DisplayPort
2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s",35.4 x 25.1 x 2.24 ~ 2.49 cm,2.2 kg,,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , RGB",,,,TUF Gaming,90NR0GW2-M00670,24 tháng,144.0,1920 x 1080,250.0,Gaming
Laptop ASUS Vivobook 15X OLED M3504YA-L1332W,15990000.0,ASUS,AMD Ryzen 7 7730U,16.0,512.0,15.6,50.0,16MB,8.0,2.0 GHz,,AMD Radeon Graphics,,1.0,DDR4,SonicMaster,HD,Windows 11 Home,"1 x USB Type C / Power Delivery
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI",35.97 x 23.25 x 1.79 cm,1.6 kg,,Đen,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet , không đèn",,,,VivoBook,90NB1181-M00DW0,24 tháng,,1920 x 1080,600.0,basic
Laptop AI HP Pavilion X360 14-ek2024TU - 9Z2V6PA,23890000.0,HP,Intel Core 5 120U,16.0,512.0,14.0,43.0,12MB,10.0,1.4 GHz,,Intel Iris Xe Graphics,3200MHz,1.0,DDR4,HP Audio Boost,HD,Windows 11 Home SL,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI",32.2 x 21.0 x 1.99 cm,1.5 kg,,Gold,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , LED",,Vân tay,,Pavilion X360,9Z2V6PA,12 tháng,,1920 x 1080,300.0,basic
Laptop HP 14-ep1007TU - 9Z2W1PA,21490000.0,HP,Intel Core 7 150U,16.0,512.0,14.0,41.0,12MB,10.0,1.8 GHz,,Intel Iris Xe Graphics,3200MHz,2.0,DDR4,,HD,Windows 11 Home,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI",32.4 x 21.5 x 1.79 cm,1.4 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không đèn",,,,14/15 Series,9Z2W1PA,12 tháng,,1920 x 1080,250.0,basic
Laptop ACER Gaming Aspire 5 A515-58GM-598J,18490000.0,ACER,Intel Core i513420H,16.0,512.0,15.6,50.0,12MB,8.0,2.1 GHz,,NVIDIA GeForce RTX 2050,3200MHz,2.0,DDR4,,FHD,Windows 11 Home,"2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s",36.1 x 23.7 x 1.79 cm,1.7 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , có phím số , LED",,Vân tay,"Adapter, dây nguồn, HDSD,…",Aspire 5,NX.KW1SV.002,12 tháng,144.0,1920 x 1080,250.0,Gaming
Laptop HP ProBook 440 G10 - 873C1PA,25190000.0,HP,Intel Core i71360P,16.0,512.0,14.0,51.0,18MB,12.0,2.2 GHz,,Intel Iris Xe Graphics,3200MHz,1.0,DDR4,,HD,Windows 11 Home,"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",32.19 x 21.39 x 1.99 cm,1.4 kg,Kim loại,Bạc,"Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",,Vân tay,"Adapter, dây nguồn,…",ProBook,873C1PA,12 tháng,,1920 x 1080,,basic
Laptop Dell Inspiron 15 3520 - 25P2312,16490000.0,Dell,Intel Core i51235U,16.0,512.0,15.6,41.0,12MB,10.0,1.3 GHz,,Intel Iris Xe Graphics,2666MHz,2.0,DDR4,,HD,Windows 11 Home SL + Office Home & Student 2021,"2 x USB 3.2
1 x USB 2.0
1 x SD card slot
Audio combo
1 x HDMI",35.85 x 23.49 x 1.75 cm,1.7 kg,,Bạc,"WiFi 802.11ac , Bluetooth 5.0","Bàn phím thường , có phím số , không đèn",,,,Inspiron,25P2312,12 tháng,120.0,1920 x 1080,250.0,basic
Laptop gaming HP Victus 16-r0225TX - 9Q976PA,35390000.0,HP,Intel Core i713700H,32.0,512.0,16.1,70.0,24MB,14.0,2.4 GHz,,NVIDIA GeForce RTX 4050,5200MHz,2.0,DDR5,HP Audio Boost,FHD,Windows 11 Home,"1 x USB Type C / DisplayPort
3 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",36.9 x 25.94 x 2.29 - 2.39 cm,2.3 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , RGB",,,"Adapter, dây nguồn",VICTUS,9Q976PA,12 tháng,144.0,1920 x 1080,250.0,Gaming
Laptop AI HP 15-fd1037TU - 9Z2W5PA,22490000.0,HP,Intel Core 7 150U,16.0,1024.0,15.6,41.0,12MB,10.0,1.8 GHz,,Intel Iris Xe Graphics,3200MHz,2.0,DDR4,,HD,Windows 11 Home,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI",35.98 x 23.6 x 1.86 cm,1.6 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím thường , có phím số , không đèn",,,"Adapter, dây nguồn,…",14/15 Series,9Z2W5PA,12 tháng,,1920 x 1080,250.0,basic
Laptop gaming HP Victus 16-r0215TX - 9Q9B8PA,31190000.0,HP,Intel Core i713700H,32.0,512.0,16.1,70.0,24MB,14.0,2.4 GHz,,NVIDIA GeForce RTX 3050,5200MHz,2.0,DDR5,HP Audio Boost,FHD,Windows 11 Home,"1 x USB Type C / DisplayPort
3 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",36.9 x 25.94 x 2.29 - 2.39 cm,2.3 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , RGB",,,"Adapter, dây nguồn",VICTUS,9Q9B8PA,12 tháng,144.0,1920 x 1080,250.0,Gaming
Laptop gaming HP Victus 16-r0223TX - 9Q974PA,44490000.0,HP,Intel Core i713700H,32.0,512.0,16.1,70.0,24MB,14.0,2.4 GHz,,NVIDIA GeForce RTX 4070,5200MHz,2.0,DDR5,HP Audio Boost,FHD,Windows 11 Home,"1 x USB Type C / DisplayPort
3 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",36.9 x 25.94 x 2.29 - 2.39 cm,2.3 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , RGB",,,"Adapter, dây nguồn",VICTUS,9Q974PA,12 tháng,144.0,1920 x 1080,250.0,Gaming
Laptop gaming Lenovo LOQ 15ARP9 - 83JC007JVN,24490000.0,Lenovo,AMD Ryzen 5 7235HS,24.0,512.0,15.6,60.0,18MB,4.0,3.2 GHz,,NVIDIA GeForce RTX 3050,4800MHz,2.0,DDR5,Nahimic Audio,HD,Windows 11 Home SL,"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",35.98 x 25.87 x 2.19-2.39 cm,2.4 kg,Vỏ nhựa,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Có phím Copilot , có phím số , LED",,,Adapter,LOQ,83JC007JVN,24 tháng,144.0,1920 x 1080,300.0,Gaming
Laptop ASUS Vivobook 14X OLED A1405ZA-KM264W,16690000.0,ASUS,Intel Core i512500H,16.0,512.0,14.0,50.0,18MB,12.0,2.5 GHz,,Intel Iris Xe Graphics,,2.0,DDR4,SonicMaster,FHD,Windows 11 Home,"1 x USB Type C
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI",31.71 x 22.20 x 1.99 cm,1.6 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet , không phím số , không đèn",,Khuôn mặt,"Adapter, dây nguồn,…",VivoBook,90NB0ZC1-M00BF0,24 tháng,,2800 x 1800,600.0,basic
Laptop ASUS VivoBook 15 OLED A1505VA-MA492W,20990000.0,ASUS,Intel Core i713700H,16.0,512.0,15.6,50.0,24MB,14.0,2.4 GHz,,Intel Iris Xe Graphics,,2.0,DDR4,SonicMaster,FHD,Windows 11 Home,"1 x USB Type C
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI",35.68 x 22.76 x 1.99 cm,1.7 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet , không đèn",,Khuôn mặt,"Adapter, dây nguồn,…",VivoBook,90NB10P2-M00LE0,24 tháng,,2800 x 1800,600.0,basic
Laptop ASUS VivoBook 15 OLED A1505VA-MA469W,22490000.0,ASUS,Intel Core i913900H,16.0,512.0,15.6,50.0,24MB,14.0,2.6 GHz,,Intel Iris Xe Graphics,,2.0,DDR4,SonicMaster,FHD,Windows 11 Home,"1 x USB Type C
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI",35.68 x 22.76 x 1.99 cm,1.7 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet , có phím số , LED",,Khuôn mặt,"Adapter, dây nguồn,…",VivoBook,90NB10P2-M00KN0,24 tháng,,2800 x 1620,600.0,basic
Laptop Lenovo ThinkBook 14 G6 IRL - 21KG00RDVN,16990000.0,Lenovo,Intel Core i513420H,16.0,512.0,14.0,60.0,12MB,8.0,2.1 GHz,,Intel UHD Graphics,5200MHz,2.0,DDR5,Dolby Audio,FHD,Windows 11 Home SL,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",31.35 x 22.4 x 1.69 cm,1.4 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",,"Khuôn mặt, Vân tay",Adapter,Thinkbook,21KG00RDVN,24 tháng,,1920 x 1200,300.0,basic
Laptop Lenovo ThinkBook 14 G6 IRL - 21KG00BQVN,20990000.0,Lenovo,Intel Core i71355U,16.0,512.0,14.0,,12MB,10.0,1.7 GHz,,Intel Iris Xe Graphics,5200MHz,2.0,DDR5,Dolby Audio,FHD,Windows 11 Home SL,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",31.35 x 22.4 x 1.69 cm,1.4 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",,Vân tay,Adapter,Thinkbook,21KG00BQVN,24 tháng,,1920 x 1200,300.0,basic
Laptop gaming Lenovo LOQ 15IAX9 - 83GS001SVN,18990000.0,Lenovo,Intel Core i512450HX,12.0,512.0,15.6,60.0,12MB,8.0,2.4 GHz,,NVIDIA GeForce RTX 2050,4800MHz,1.0,DDR5,Dolby Audio,HD,Windows 11 Home SL,"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",359.86 x 258.7 x 21.9-23.9 mm,2.4 kg,Vỏ nhựa,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , LED",,,,LOQ,83GS001SVN,24 tháng,144.0,1920 x 1080,300.0,Gaming
Laptop gaming MSI Cyborg 15 A13VFK-876VN,28590000.0,MSI,Intel Core i713620H,16.0,512.0,15.6,53.0,24MB,10.0,2.4 GHz,,NVIDIA GeForce RTX 4060,5200MHz,2.0,DDR5,,HD,Windows 11 Home,"1 x USB Type C / DisplayPort
2 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",359.36 x 250.34 x 21.95-22.9 mm,2 kg,,Đen,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , RGB 4 vùng",,,,Cyborg,876VN,24 tháng,144.0,1920 x 1080,,Gaming
Laptop Lenovo Ideapad Slim 3 15ABR8 - 82XM00EJVN,12490000.0,Lenovo,AMD Ryzen 5 7430U,16.0,512.0,15.6,47.0,16MB,6.0,2.3 GHz,,AMD Radeon Graphics,3200MHz,1.0,DDR4,Dolby Audio,HD,Windows 11 Home SL,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI",359.3 x 235 x 17.9 mm,1.6 kg,Vỏ nhựa,Xám,"WiFi 802.11ac , Bluetooth 5.2","Bàn phím thường , có phím số , không đèn",,Vân tay,,Ideapad,82XM00EJVN,24 tháng,,1920 x 1080,300.0,basic
Laptop gaming Lenovo LOQ 15IAX9 - 83GS004BVN,21990000.0,Lenovo,Intel Core i512450HX,12.0,512.0,15.6,60.0,12MB,8.0,2.4 GHz,,NVIDIA GeForce RTX 3050,4800MHz,1.0,DDR5,Nahimic Audio,HD,Windows 11 Home SL,"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",359.86 x 258.7 x 21.9-23.9 mm,2.4 kg,Vỏ nhựa,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Có phím Copilot , có phím số , LED",,,"Adapter, dây nguồn",LOQ,83GS004BVN,36 tháng,144.0,1920 x 1200,300.0,Gaming
Laptop ASUS ROG Strix G16 G614JV-N4156W,38990000.0,ASUS,Intel Core i713650HX,16.0,512.0,16.0,90.0,24MB,14.0,2.6 GHz,,NVIDIA GeForce RTX 4060,4800MHz,1.0,DDR5,Dolby Atmos,HD,Windows 11 Home,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s",35.4 x 26.4 x 2.26 ~ 3.04 cm,2.5 kg,,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet , không phím số , RGB 4 vùng",RGB,,,ROG,90NR0C61-M011S0,24 tháng,240.0,2560 x 1600,,Gaming
Laptop Dell Inspiron 14 5440 - 71034769,22990000.0,Dell,Intel Core 5 120U,16.0,1024.0,14.0,54.0,12MB,10.0,1.4 GHz,,Intel Iris Xe Graphics,5200MHz,2.0,DDR5,Dolby Atmos,FHD,Windows 11 Home SL + Office Home & Student 2021,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",314.00 x 226.15 x 17.31 mm,1.6 kg,,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",,,"Adapter, dây nguồn",Inspiron,71034769,12 tháng,,1920 x 1200,250.0,basic
Laptop Dell Inspiron 14 5440 - 71034770,28490000.0,Dell,Intel Core 7 150U,16.0,1024.0,14.0,54.0,12MB,10.0,1.8 GHz,,NVIDIA GeForce MX570A,5200MHz,2.0,DDR5,Dolby Atmos,FHD,Windows 11 Home SL + Office Home & Student 2021,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",314.00 x 226.15 x 17.31 mm,1.6 kg,,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",,,"Adapter, dây nguồn",Inspiron,71034770,12 tháng,,2240 x 1400,250.0,basic
Laptop gaming ACER Nitro V ANV15-51-91T5,31490000.0,ACER,Intel Core i913900H,16.0,512.0,15.6,54.0,24MB,14.0,2.6 GHz,,NVIDIA GeForce RTX 4060,5200MHz,1.0,DDR5,,HD,Windows 11 Home SL,"3 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s",362.3 x 239.89 x 22.9/26.9 mm,2.1 kg,Vỏ nhựa,Đen,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , có phím số , LED",,,"Adapter, dây nguồn, HDSD,…",Nitro V,NH.QQESV.009,12 tháng,144.0,1920 x 1080,,Gaming
Laptop gaming ACER Nitro V ANV15-51-53NE,19990000.0,ACER,Intel Core i513420H,16.0,512.0,15.6,54.0,12MB,8.0,2.1 GHz,,NVIDIA GeForce RTX 2050,5200MHz,2.0,DDR5,,HD,Windows 11 Home SL,"3 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s",362.3 x 239.89 x 22.9/26.9 mm,2.1 kg,Vỏ nhựa,Đen,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , có phím số , LED",,,"Adapter, dây nguồn, HDSD,…",Nitro V,NH.QNASV.002,12 tháng,144.0,1920 x 1080,,Gaming
Laptop Dell Inspiron 3530 - N5I5489W1,20590000.0,Dell,Intel Core i51335U,16.0,512.0,15.6,41.0,12MB,10.0,1.3 GHz,,NVIDIA GeForce MX550,2666MHz,2.0,DDR4,,HD,Windows 11 Home SL + Office Home & Student 2021,"1 x USB Type C
1 x USB 3.2
1 x USB 2.0
1 x SD card slot
Audio combo
1 x HDMI",358.50 x 234.90 x 17.50 mm,1.6 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , LED",,Vân tay,,Inspiron,N5I5489W1,12 tháng,120.0,1920 x 1080,250.0,basic
Laptop Dell Inspiron 5440 G14 - N4I5211W1,23490000.0,Dell,Intel Core 5 120U,16.0,512.0,14.0,54.0,12MB,10.0,1.4 GHz,,Intel Iris Xe Graphics,5200MHz,2.0,DDR5,Dolby Atmos,FHD,Windows 11 Home SL + Office Home & Student 2021,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI",314 x 226.15 x 18.90 cm,1.6 kg,,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",,,,Inspiron,N4I5211W1,12 tháng,,1920 x 1200,250.0,basic
Laptop Dell Inspiron 5440 G14 - N4I7204W1,23990000.0,Dell,Intel Core 7 150U,16.0,512.0,14.0,54.0,12MB,10.0,1.8 GHz,,Intel Iris Xe Graphics,5200MHz,2.0,DDR5,Dolby Atmos,FHD,Windows 11 Home SL + Office Home & Student 2021,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.1
1 x SD card slot
Audio combo
1 x HDMI",15.7 x 314 x 227.5mm,1.6 kg,,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , không đèn",,Không,,Inspiron,N4I7204W1,12 tháng,,1920 x 1200,250.0,basic
Laptop Lenovo LOQ 15IRX9 - 83DV00D5VN,29690000.0,Lenovo,Intel Core i713650HX,16.0,512.0,15.6,60.0,24MB,14.0,2.6 GHz,,NVIDIA GeForce RTX 4050,4800MHz,1.0,DDR5,Nahimic Audio,FHD,Windows 11 Home SL,"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",359.86 x 258.7 x 21.9-23.9 mm,2.4 kg,Vỏ nhựa,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , RGB",,,,LOQ,83DV00D5VN,24 tháng,144.0,1920 x 1080,300.0,Gaming
Laptop ACER Aspire Lite - AL14-51M-59BN,13790000.0,ACER,Intel Core i51235U,16.0,512.0,14.0,58.0,12MB,10.0,1.3 GHz,,Intel UHD Graphics,4800MHz,1.0,DDR5,,FHD,Windows 11 Home SL,"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.1
Không
Audio combo
1 x HDMI",313.3 x 218 x 16.9 mm,1.5 kg,Vỏ nhôm,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , không phím số , không đèn",không đèn,,,Aspire,NX.KTXSV.001,12 tháng,,1920 x 1200,300.0,basic
Laptop Dell Inspiron 14 5440 - N5440-C5U165W11IBD2,24690000.0,Dell,Intel Core 5 120U,16.0,512.0,14.0,54.0,12MB,10.0,1.4 GHz,,NVIDIA GeForce MX570A,5200MHz,2.0,DDR5,Dolby Atmos,FHD,Windows 11 Home SL + Office Home & Student 2021,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI",16.90 - 18.07 x 314.00 x 226.15 mm,1.7 kg,,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",,Vân tay,"Adapter, dây nguồn, HDSD,…",Inspiron,N5440-C5U165W11IBD2,12 tháng,,2240 x 1400,250.0,basic
